,Price,Close,High,Low,Open,Volume,Daily_Return
0,Ticker,,,,,,
103,2020-06-02,466.3482360839844,468.2117654989054,454.3284770447843,459.6861241126822,41623594.0,0.01351683060963893
104,2020-06-03,476.248291015625,487.4294687944218,473.080296332007,475.2000555988628,50546088.0,0.02122888898384878
105,2020-06-04,466.6743774414063,484.0284673528637,461.7360072400264,478.9503949974145,54275882.0,-0.02010277780483327
106,2020-06-05,481.4195251464844,485.6357832510225,467.1868247410071,467.32658376191273,35195984.0,0.03159622301511389
107,2020-06-08,473.2899169921875,496.93344756618,468.8640344216865,493.83531839274775,49812664.0,-0.016886743743563803
108,2020-06-09,459.9656677246094,478.3447332881716,456.35507928245374,475.2000272256489,61844146.0,-0.028152404666161646
109,2020-06-10,462.08544921875,465.8125084361142,455.7261714902455,461.2235781488166,36497730.0,0.004608564601412235
110,2020-06-11,451.253662109375,460.47815598594246,449.57649691465576,458.8941445191046,30897714.0,-0.023441091096221167
111,2020-06-12,457.8459167480469,459.66286943509465,432.3388560083312,432.3388560083312,42644876.0,0.014608755988497757
112,2020-06-15,442.5183410644531,453.7694112492837,439.3270583245118,450.9741171348117,32009936.0,-0.03347758519386013
113,2020-06-16,461.4098815917969,463.0637582142001,443.5199883352846,454.23528217111607,45399970.0,0.042690977467512825
114,2020-06-17,456.2153015136719,465.3699012714585,453.4200073507084,460.7576545284876,36957838.0,-0.011258059884206362
115,2020-06-18,475.1767272949219,477.4828507053401,452.8376620450616,456.5647209919345,40870126.0,0.04156245026928751
116,2020-06-19,481.4195251464844,485.91530129283376,471.5428418664508,474.2449538663695,47877752.0,0.01313784428606457
117,2020-06-22,479.2764892578125,487.28964329238073,476.97036583388126,484.2614078803022,29694474.0,-0.004451493503550341
118,2020-06-23,485.5892333984375,486.84709309175526,473.5927335305896,484.0517987773528,28830512.0,0.013171403734826725
119,2020-06-24,481.0235900878906,492.6706503805757,479.88220092737214,488.477708675209,39429246.0,-0.009402274590385451
120,2020-06-25,479.2764892578125,488.7106072723648,469.1435476866267,476.08520638993417,70646790.0,-0.0036320481283649286
121,2020-06-26,492.1814270019531,495.23297939739126,478.9270957860002,484.98356684165975,39969138.0,0.02692587271310698
122,2020-06-29,501.3128051757813,504.3643009312351,483.12007376742514,483.12007376742514,46005956.0,0.018552870289012313
123,2020-06-30,496.5606689453125,502.4774086453141,492.11152682600886,500.3576213003967,35746130.0,-0.009479383294034416
124,2020-07-01,505.2961120605469,510.6071835555551,494.4410847075748,496.56081580902617,34846718.0,0.017591894931566543
125,2020-07-02,507.5323486328125,517.7118687155893,505.5756082351025,507.95165420878,36954496.0,0.004425596237316087
126,2020-07-03,500.3343811035156,510.51395704740577,498.4941683703127,509.2094635782726,27597254.0,-0.014182283254824513
127,2020-07-06,513.8682250976562,521.7416480802141,512.4705780665656,516.1743199507945,35558216.0,0.02704959823926356
128,2020-07-07,514.8699951171875,517.9214910076219,509.2328289105879,516.8499955070968,24349850.0,0.0019494686976235798
129,2020-07-08,517.29248046875,524.0710917307265,514.8000211521851,515.7317858963519,30056350.0,0.004705042776887991
130,2020-07-09,524.0943603515625,526.3073016553748,515.8482649781512,520.8565005604632,20114484.0,0.013149002043580715
131,2020-07-10,514.8466186523438,521.7882776487165,512.2610055058834,520.809936002207,17562978.0,-0.01764518452939534
132,2020-07-13,503.2694396972656,518.5270876029222,499.0998151551805,517.0828636027278,29922114.0,-0.022486656288784435
133,2020-07-14,493.2995300292969,497.9816705383356,489.1764824796212,495.0465888952955,26612674.0,-0.019810282289276282
134,2020-07-15,490.64404296875,502.687091193702,489.2230789526157,498.58730347565495,20974394.0,-0.0053831128936797645
135,2020-07-16,495.0233154296875,496.3976456187151,481.7689284047209,490.8769511264592,23662456.0,0.00892555921893945
136,2020-07-17,511.74847412109375,514.3341440608671,493.0433421862205,493.3927539688706,28405738.0,0.03378660796388666
137,2020-07-20,527.8681640625,537.1159198699963,523.721798637229,528.7766121457721,65124096.0,0.031499243781998754
138,2020-07-21,530.4303588867188,539.468430751152,528.3105714998238,536.7197704521928,47512422.0,0.004853853667741603
139,2020-07-22,524.74658203125,533.2023581945233,520.6468514072179,530.4070640493358,24718012.0,-0.010715406386991089
140,2020-07-23,526.6334838867188,532.9228963769175,520.041236458095,524.1177075165571,20149122.0,0.003595834484837912
141,2020-07-24,521.3689575195312,523.1393333029866,513.0529684515155,523.1393333029866,19598440.0,-0.009996565976651661
142,2020-07-27,502.9200134277344,513.8682490141649,500.9865902373261,512.4007081891367,37970094.0,-0.03538558217882726
143,2020-07-28,506.25103759765625,509.8616256004472,493.6023211557345,502.6870264530793,35596450.0,0.006623367694633453
144,2020-07-29,495.9783020019531,507.1129007230998,491.7621011664126,503.6187833547734,33592086.0,-0.020291781809378517
145,2020-07-30,489.4793701171875,504.8534897940756,487.6391004578583,500.35771312053953,26956266.0,-0.013103258466214185
146,2020-07-31,481.1633605957031,492.76378674190425,475.2233316206492,492.76378674190425,37726696.0,-0.016989499515563722
147,2020-08-03,466.8141479492188,478.4378906614677,462.62120650057307,477.9720082782848,31783542.0,-0.029821914596155685
